time,q
0.0,0.0
0.01,0.0001
0.02,0.00040000000000000002
0.029999999999999999,0.00089999999999999998
0.040000000000000001,0.0016000000000000001
0.050000000000000003,0.0025000000000000005
0.059999999999999998,0.0035999999999999999
0.070000000000000007,0.0049000000000000007
0.080000000000000002,0.0064000000000000003
0.089999999999999997,0.0080999999999999996
0.10000000000000001,0.010000000000000002
0.11,0.0121
0.12,0.0144
0.13,0.016900000000000002
0.14000000000000001,0.019600000000000003
0.14999999999999999,0.022499999999999999
0.16,0.025600000000000001
0.17000000000000001,0.028900000000000006
0.17999999999999999,0.032399999999999998
0.19,0.0361
0.20000000000000001,0.040000000000000008
0.20999999999999999,0.044099999999999993
0.22,0.048399999999999999
0.23000000000000001,0.052900000000000003
0.23999999999999999,0.057599999999999998
0.25,0.0625
0.26000000000000001,0.067600000000000007
0.27000000000000002,0.072900000000000006
0.28000000000000003,0.078400000000000011
0.28999999999999998,0.084099999999999994
0.29999999999999999,0.089999999999999997
0.31,0.096100000000000005
0.32000000000000001,0.1024
0.33000000000000002,0.10890000000000001
0.34000000000000002,0.11560000000000002
0.35000000000000003,0.12250000000000003
0.35999999999999999,0.12959999999999999
0.37,0.13689999999999999
0.38,0.1444
0.39000000000000001,0.15210000000000001
0.40000000000000002,0.16000000000000003
0.41000000000000003,0.16810000000000003
0.41999999999999998,0.17639999999999997
0.42999999999999999,0.18489999999999998
0.44,0.19359999999999999
0.45000000000000001,0.20250000000000001
0.46000000000000002,0.21160000000000001
0.47000000000000003,0.22090000000000004
0.47999999999999998,0.23039999999999999
0.48999999999999999,0.24009999999999998
0.5,0.25
0.51000000000000001,0.2601
0.52000000000000002,0.27040000000000003
0.53000000000000003,0.28090000000000004
0.54000000000000004,0.29160000000000003
0.55000000000000004,0.30250000000000005
0.56000000000000005,0.31360000000000005
0.57000000000000006,0.32490000000000008
0.57999999999999996,0.33639999999999998
0.58999999999999997,0.34809999999999997
0.59999999999999998,0.35999999999999999
0.60999999999999999,0.37209999999999999
0.62,0.38440000000000002
0.63,0.39690000000000003
0.64000000000000001,0.40960000000000002
0.65000000000000002,0.42250000000000004
0.66000000000000003,0.43560000000000004
0.67000000000000004,0.44890000000000008
0.68000000000000005,0.46240000000000009
0.69000000000000006,0.47610000000000008
0.70000000000000007,0.4900000000000001
0.70999999999999996,0.50409999999999999
0.71999999999999997,0.51839999999999997
0.72999999999999998,0.53289999999999993
0.73999999999999999,0.54759999999999998
0.75,0.5625
0.76000000000000001,0.5776
0.77000000000000002,0.59289999999999998
0.78000000000000003,0.60840000000000005
0.79000000000000004,0.6241000000000001
0.80000000000000004,0.64000000000000012
0.81000000000000005,0.65610000000000013
0.82000000000000006,0.67240000000000011
0.83000000000000007,0.68890000000000007
0.83999999999999997,0.70559999999999989
0.84999999999999998,0.72249999999999992
0.85999999999999999,0.73959999999999992
0.87,0.75690000000000002
0.88,0.77439999999999998
0.89000000000000001,0.79210000000000003
0.90000000000000002,0.81000000000000005
0.91000000000000003,0.82810000000000006
0.92000000000000004,0.84640000000000004
0.93000000000000005,0.86490000000000011
0.94000000000000006,0.88360000000000016
0.95000000000000007,0.90250000000000008
0.95999999999999996,0.92159999999999997
0.96999999999999997,0.94089999999999996
0.97999999999999998,0.96039999999999992
0.98999999999999999,0.98009999999999997
