time,collision-num,trajectory-num,success
0.135618,0,8,1
0.160192,0,8,1
0.348733,0,8,1
0.131541,0,8,1
0.137705,0,8,1
0.142019,0,8,1
0.140004,0,8,1
0.137546,0,8,1
0.143171,0,8,1
0.140679,0,8,1
0.152658,0,9,1
0.148864,0,9,1
0.304845,0,9,1
0.136331,0,9,1
0.147234,0,9,1
0.14774,0,9,1
0.18094,0,9,1
0.151247,0,9,1
0.16694,0,9,1
0.148467,0,9,1
0.166953,0,10,1
0.306454,0,10,1
0.146255,0,10,1
0.157612,0,10,1
0.159787,0,10,1
0.155264,0,10,1
0.157229,0,10,1
0.160226,0,10,1
0.159693,0,10,1
0.296264,0,10,1
0.17049,0,11,1
0.175677,0,11,1
0.176223,0,11,1
0.177887,0,11,1
0.177999,0,11,1
0.183201,0,11,1
0.182002,0,11,1
0.315271,0,11,1
0.168104,0,11,1
0.174128,0,11,1
0.188483,0,12,1
0.189172,0,12,1
0.192271,0,12,1
0.190941,0,12,1
0.32367,0,12,1
0.179323,0,12,1
0.187663,0,12,1
0.19012,0,12,1
0.188025,0,12,1
0.18657,0,12,1
0.202493,0,13,1
0.355212,0,13,1
0.196076,0,13,1
0.199678,0,13,1
0.200288,0,13,1
0.201895,0,13,1
0.200567,0,13,1
0.333267,0,13,1
0.192924,0,13,1
0.20247,0,13,1
0.215239,0,14,1
0.218521,0,14,1
0.288534,0,14,1
0.280457,0,14,1
0.389813,0,14,1
0.225548,0,14,1
0.225147,0,14,1
0.22113,0,14,1
0.218851,0,14,1
0.218157,0,14,1
0.358601,0,15,1
0.230569,0,15,1
0.22798,0,15,1
0.23139,0,15,1
0.227086,0,15,1
0.361362,0,15,1
0.222054,0,15,1
0.238206,0,15,1
0.231766,0,15,1
0.234831,0,15,1
0.244705,0,16,1
0.360687,0,16,1
0.233151,0,16,1
0.237983,0,16,1
0.242412,0,16,1
0.245202,0,16,1
0.378379,0,16,1
0.239093,0,16,1
0.246539,0,16,1
0.24654,0,16,1
0.259437,0,17,1
0.399151,0,17,1
0.248397,0,17,1
0.26021,0,17,1
0.264035,0,17,1
0.259636,0,17,1
0.396208,0,17,1
0.248496,0,17,1
0.25931,0,17,1
0.265907,0,17,1
0.275692,0,18,1
0.494711,0,18,1
0.253773,0,18,1
0.263815,0,18,1
0.271302,0,18,1
0.296791,0,18,1
0.575624,0,18,1
0.281921,0,18,1
0.291543,0,18,1
0.276417,0,18,1
0.291399,0,19,1
0.461983,0,19,1
0.290296,0,19,1
0.300794,0,19,1
0.338003,0,19,1
0.530757,0,19,1
0.281965,0,19,1
0.358556,0,19,1
0.370179,0,19,1
0.328208,0,19,1
0.523283,0,20,1
0.350437,0,20,1
0.329567,0,20,1
0.340705,0,20,1
0.58048,0,20,1
0.368262,0,20,1
0.317565,0,20,1
0.322264,0,20,1
0.494473,0,20,1
0.307463,0,20,1
0.339799,0,21,1
0.337805,0,21,1
0.518818,0,21,1
0.385405,0,21,1
0.325757,0,21,1
0.341814,0,21,1
0.492062,0,21,1
0.315451,0,21,1
0.351465,0,21,1
0.390164,0,21,1
0.544845,0,22,1
0.334463,0,22,1
0.337761,0,22,1
0.35808,0,22,1
0.543322,0,22,1
0.412285,0,22,1
0.353146,0,22,1
0.347577,0,22,1
0.525465,0,22,1
0.357212,0,22,1
0.3692,0,23,1
0.371151,0,23,1
0.538514,0,23,1
0.379944,0,23,1
0.358241,0,23,1
0.372286,0,23,1
0.511615,0,23,1
0.349192,0,23,1
0.348454,0,23,1
0.491605,0,23,1
0.36584,0,24,1
0.370655,0,24,1
0.371711,0,24,1
0.503748,0,24,1
0.37313,0,24,1
0.377954,0,24,1
0.391876,0,24,1
0.540526,0,24,1
0.452561,0,24,1
0.452592,0,24,1
0.556349,0,25,1
0.396814,0,25,1
0.383483,0,25,1
0.390531,0,25,1
0.530098,0,25,1
0.382435,0,25,1
0.37495,0,25,1
0.519573,0,25,1
0.367147,0,25,1
0.371452,0,25,1
0.566968,0,26,1
0.400035,0,26,1
0.391979,0,26,1
0.457822,0,26,1
0.567898,0,26,1
0.403888,0,26,1
0.399688,0,26,1
0.542924,0,26,1
0.387911,0,26,1
0.388359,0,26,1
0.590915,0,27,1
0.42026,0,27,1
0.423795,0,27,1
0.56024,0,27,1
0.399739,0,27,1
0.411929,0,27,1
0.415942,0,27,1
0.541767,0,27,1
0.422516,0,27,1
0.398553,0,27,1
0.539658,0,28,1
0.423356,0,28,1
0.439196,0,28,1
0.560893,0,28,1
0.423249,0,28,1
0.420976,0,28,1
0.549142,0,28,1
0.416259,0,28,1
0.414906,0,28,1
0.66262,0,28,1
0.452241,0,29,1
0.464837,0,29,1
0.605548,0,29,1
0.441655,0,29,1
0.442378,0,29,1
0.577247,0,29,1
0.446055,0,29,1
0.451537,0,29,1
0.632091,0,29,1
0.453535,0,29,1
0.315243,1,8,1
0.311978,1,8,1
0.499496,1,8,1
0.311545,1,8,1
0.306356,1,8,1
0.32526,1,8,1
0.313526,1,8,1
0.371005,1,8,1
0.333931,1,8,1
0.518104,1,8,1
0.331068,1,9,1
0.354081,1,9,1
0.34444,1,9,1
0.335099,1,9,1
0.334781,1,9,1
0.479882,1,9,1
0.331541,1,9,1
0.345522,1,9,1
0.347681,1,9,1
0.351029,1,9,1
0.391291,1,10,1
0.513412,1,10,1
0.378692,1,10,1
0.377049,1,10,1
0.376772,1,10,1
0.387476,1,10,1
0.377375,1,10,1
0.531217,1,10,1
0.37165,1,10,1
0.382885,1,10,1
0.424455,1,11,1
0.410798,1,11,1
0.557559,1,11,1
0.390991,1,11,1
0.406511,1,11,1
0.408664,1,11,1
0.46621,1,11,1
0.624207,1,11,1
0.395844,1,11,1
0.41131,1,11,1
0.464208,1,12,1
0.447407,1,12,1
0.585342,1,12,1
0.44148,1,12,1
0.429297,1,12,1
0.450031,1,12,1
0.436354,1,12,1
0.56919,1,12,1
0.442244,1,12,1
0.426827,1,12,1
0.46743,1,13,1
0.608659,1,13,1
0.454799,1,13,1
0.46709,1,13,1
0.45728,1,13,1
0.455755,1,13,1
0.585263,1,13,1
0.473983,1,13,1
0.480642,1,13,1
